# Date, spot_meas, millis
2000-01-01T00:00:00Z, 20.63, 58115
# Date, spot_meas, millis
2000-01-01T00:00:00Z, 20.63, 218
2000-01-01T00:00:00Z, 20.63, 1340
2000-01-01T00:00:00Z, 20.63, 2462
2000-01-01T00:00:00Z, 20.63, 3586
2000-01-01T00:00:00Z, 20.63, 4708
2000-01-01T00:00:00Z, 20.63, 5831
2000-01-01T00:00:00Z, 20.63, 6953
2000-01-01T00:00:00Z, 20.63, 8076
2000-01-01T00:00:00Z, 20.63, 9202
2000-01-01T00:00:00Z, 20.63, 10324
2000-01-01T00:00:00Z, 20.63, 11448
# Date, spot_meas, millis
2000-01-01T00:00:00Z, 25.00, 324
# Date, spot_meas, millis
2000-01-01T00:00:00Z, 25.00, 620
2000-01-01T00:00:00Z, 20.63, 1754
2000-01-01T00:00:00Z, 20.63, 2885
2000-01-01T00:00:00Z, 20.63, 4007
2000-01-01T00:00:00Z, 20.69, 5130
2000-01-01T00:00:00Z, 20.63, 6253
2000-01-01T00:00:00Z, 20.63, 7375
2000-01-01T00:00:00Z, 20.63, 8498
2000-01-01T00:00:00Z, 20.63, 9620
2000-01-01T00:00:00Z, 20.63, 10746
2000-01-01T00:00:00Z, 20.63, 11869
2000-01-01T00:00:00Z, 20.63, 12991
2000-01-01T00:00:00Z, 20.63, 14113
2000-01-01T00:00:00Z, 20.63, 227
2000-01-01T00:00:00Z, 20.63, 1349
2000-01-01T00:00:00Z, 20.63, 2471
2000-01-01T00:00:00Z, 20.63, 3594
2000-01-01T00:00:00Z, 20.63, 4716
2000-01-01T00:00:00Z, 20.63, 5838
2000-01-01T00:00:00Z, 20.63, 6962
2000-01-01T00:00:00Z, 20.63, 8084
2000-01-01T00:00:00Z, 20.63, 9206
2000-01-01T00:00:00Z, 20.63, 10332
2000-01-01T00:00:00Z, 20.63, 11455
2000-01-01T00:00:00Z, 20.63, 12582
2000-01-01T00:00:00Z, 20.63, 13705
2000-01-01T00:00:00Z, 20.63, 14827
2000-01-01T00:00:00Z, 20.63, 15950
2000-01-01T00:00:00Z, 20.63, 17073
2000-01-01T00:00:00Z, 20.63, 18196
2000-01-01T00:00:00Z, 20.63, 19318
2000-01-01T00:00:00Z, 20.63, 20441
2000-01-01T00:00:00Z, 20.63, 21564
2000-01-01T00:00:00Z, 20.63, 22686
2000-01-01T00:00:00Z, 20.63, 23809
2000-01-01T00:00:00Z, 20.63, 24932
2000-01-01T00:00:00Z, 20.63, 26052
2000-01-01T00:00:00Z, 20.63, 27174
2000-01-01T00:00:00Z, 20.63, 28297
2000-01-01T00:00:00Z, 20.63, 29420
2000-01-01T00:00:00Z, 20.63, 30542
2000-01-01T00:00:00Z, 20.63, 31665
2000-01-01T00:00:00Z, 20.63, 32787
2000-01-01T00:00:00Z, 20.63, 33910
2000-01-01T00:00:00Z, 20.63, 35033
2000-01-01T00:00:00Z, 20.63, 36155
2000-01-01T00:00:00Z, 20.63, 37277
2000-01-01T00:00:00Z, 20.63, 38401
2000-01-01T00:00:00Z, 20.63, 39523
2000-01-01T00:00:00Z, 20.63, 40645
2000-01-01T00:00:00Z, 20.63, 41767
2000-01-01T00:00:00Z, 20.63, 42894
2000-01-01T00:00:00Z, 20.63, 44016
2000-01-01T00:00:00Z, 20.63, 45138
# Date, spot_meas, millis
2000-01-01T00:00:00Z, 25.00, 330
2000-01-01T00:00:00Z, 20.63, 1464
2000-01-01T00:00:00Z, 20.63, 2594
2000-01-01T00:00:00Z, 20.63, 3717
2000-01-01T00:00:00Z, 20.63, 4839
2000-01-01T00:00:00Z, 20.63, 5962
2000-01-01T00:00:00Z, 20.63, 7085
2000-01-01T00:00:00Z, 20.63, 8207
2000-01-01T00:00:00Z, 20.63, 9334
2000-01-01T00:00:00Z, 20.63, 10457
2000-01-01T00:00:00Z, 20.63, 11583
2000-01-01T00:00:00Z, 20.63, 12705
2000-01-01T00:00:00Z, 20.63, 13828
2000-01-01T00:00:00Z, 20.63, 14950
2000-01-01T00:00:00Z, 20.63, 16072
2000-01-01T00:00:00Z, 20.63, 17195
2000-01-01T00:00:00Z, 20.63, 18317
2000-01-01T00:00:00Z, 20.63, 19438
